company	title	url	drop_reason
Avis Budget Group	Lube and Tire Technician - PT	https://zapply.jobs/l/d/workday-avisbudget-abg-careers-R0185233?s=gh-new-grad-jobs-2027	no-target-role-match
Avis Budget Group	Entry Level Automotive Technician - PT	https://zapply.jobs/l/d/workday-avisbudget-abg-careers-R0185043?s=gh-new-grad-jobs-2027	no-target-role-match
Avis Budget Group	Lube and Tire Technician - FT	https://zapply.jobs/l/d/workday-avisbudget-abg-careers-R0184627?s=gh-new-grad-jobs-2027	no-target-role-match
Generac	Inside Sales Representative Residential	https://zapply.jobs/l/d/workday-generac-external-JR17057?s=gh-new-grad-jobs-2027	no-target-role-match
AMD	Technical Sales Engineer - Graduate Rotational Program	https://zapply.jobs/l/d/amd-89554?s=gh-new-grad-jobs-2027	no-target-role-match
Northrop Grumman	Manager Supply Chain Programs 2	https://zapply.jobs/l/d/workday-ngc-northrop-grumman-external-site-R10248216?s=gh-new-grad-jobs-2027	no-target-role-match
Northrop Grumman	Composite Bonder Technician - Entry & Level 1	https://zapply.jobs/l/d/workday-ngc-northrop-grumman-external-site-R10235175?s=gh-new-grad-jobs-2027	no-target-role-match
Northrop Grumman	Engineering Technician 2/3- Active Secret Clearance Required	https://zapply.jobs/l/d/workday-ngc-northrop-grumman-external-site-R10248138?s=gh-new-grad-jobs-2027	no-target-role-match
Avis Budget Group	Car Detailer - FT	https://zapply.jobs/l/d/workday-avisbudget-abg-careers-R0187300?s=gh-new-grad-jobs-2027	no-target-role-match
Avis Budget Group	Rental Sales Agent - FT	https://zapply.jobs/l/d/workday-avisbudget-abg-careers-R0184309?s=gh-new-grad-jobs-2027	no-target-role-match
Generac	Material Handler - Weekend Shift	https://zapply.jobs/l/d/workday-generac-external-JR16620?s=gh-new-grad-jobs-2027	no-target-role-match
Generac	Intern Engineering - Advanced Manufacturing	https://zapply.jobs/l/d/workday-generac-external-JR16854?s=gh-new-grad-jobs-2027	intern-coop-phd
Generac	Site Coordinator -Data Centers	https://zapply.jobs/l/d/workday-generac-external-JR16832?s=gh-new-grad-jobs-2027	no-target-role-match
F5	National Partner Manager - CDW	https://zapply.jobs/l/d/workday-ffive-f5jobs-RP1038753?s=gh-new-grad-jobs-2027	no-target-role-match
Wells Fargo	Trade Services Specialist	https://zapply.jobs/l/d/workday-wf-wellsfargojobs-R-571971?s=gh-new-grad-jobs-2027	no-target-role-match
Northrop Grumman	Structures Engineer Mechanical - Level 2/3 - Dulles	https://zapply.jobs/l/d/workday-ngc-northrop-grumman-external-site-R10251774?s=gh-new-grad-jobs-2027	no-target-role-match
Northrop Grumman	2027 Obsolescence Engineer - Product Support	https://zapply.jobs/l/d/workday-ngc-northrop-grumman-external-site-R10248913?s=gh-new-grad-jobs-2027	no-target-role-match
Northrop Grumman	Project Management Coach/Agile Enablement 3/4- 4856-1	https://zapply.jobs/l/d/workday-ngc-northrop-grumman-external-site-R10238730?s=gh-new-grad-jobs-2027	no-target-role-match
Caterpillar	Production Associate (Paint) - 1st, 2nd & 3rd Shifts	https://zapply.jobs/l/d/workday-cat-caterpillarcareers-R0000389206?s=gh-new-grad-jobs-2027	no-target-role-match
Cisco	Customer Success Area TAM Splunk Specialist	https://zapply.jobs/l/d/workday-cisco-cisco-careers-2023085?s=gh-new-grad-jobs-2027	no-target-role-match
Cisco	Account Executive - Splunk - Air Force	https://zapply.jobs/l/d/workday-cisco-cisco-careers-2024417?s=gh-new-grad-jobs-2027	no-target-role-match
Anduril	Product Support Engineer - Product Sustainment Lifecycle	https://zapply.jobs/l/d/greenhouse-andurilindustries-5243061007?s=gh-new-grad-jobs-2027	no-target-role-match
Anduril	Product Support Engineer	https://zapply.jobs/l/d/greenhouse-andurilindustries-5238763007?s=gh-new-grad-jobs-2027	no-target-role-match
GlobalFoundries	Quantum PDK Design Manual Engineer	https://zapply.jobs/l/d/workday-globalfoundries-external-JR-2605427?s=gh-new-grad-jobs-2027	no-target-role-match
GlobalFoundries	MTS Engineer SiPh Device	https://zapply.jobs/l/d/workday-globalfoundries-external-JR-2605058?s=gh-new-grad-jobs-2027	no-target-role-match
Cisco	Legal Rising 3L (Intern) - United States	https://zapply.jobs/l/d/workday-cisco-cisco-careers-2025449?s=gh-new-grad-jobs-2027	intern-coop-phd
Cisco	Legal Summer Intern Rising 2L (Intern) - United States	https://zapply.jobs/l/d/workday-cisco-cisco-careers-2025447?s=gh-new-grad-jobs-2027	intern-coop-phd
Cisco	Customer Experience Splunk Area TAM Specialist	https://zapply.jobs/l/d/workday-cisco-cisco-careers-2023088?s=gh-new-grad-jobs-2027	no-target-role-match
Microsoft	Technical Program Manager, Strategy & Transformation	https://zapply.jobs/l/d/microsoft-200055181?s=gh-new-grad-jobs-2027	no-target-role-match
Microsoft	Technical Program Manager-AI Business Solutions	https://zapply.jobs/l/d/microsoft-200055183?s=gh-new-grad-jobs-2027	no-target-role-match
TD Bank	Associate Banker II - Brigantine (20 hour)	https://zapply.jobs/l/d/workday-td-td-bank-careers-R_1510357?s=gh-new-grad-jobs-2027	no-target-role-match
Apple	Thin-Film/ALD Engineer	https://zapply.jobs/l/d/apple-200683922?s=gh-new-grad-jobs-2027	no-target-role-match
Magna	Shipping and Recieving Clerk	https://zapply.jobs/l/d/workday-magna-magna-R00262114?s=gh-new-grad-jobs-2027	no-target-role-match
Magna	Tool & Die Maker Apprentice	https://zapply.jobs/l/d/workday-magna-magna-R00262205?s=gh-new-grad-jobs-2027	intern-coop-phd
Magna	Elektriker (m/w/d)	https://zapply.jobs/l/d/workday-magna-magna-R00239177?s=gh-new-grad-jobs-2027	no-target-role-match
Jabil	Quality Technician I	https://zapply.jobs/l/d/workday-jabil-jabil-careers-J2462573?s=gh-new-grad-jobs-2027	no-target-role-match
Jabil	Quality Technician I (Shift A) (Conversion)	https://zapply.jobs/l/d/workday-jabil-jabil-careers-J2465453?s=gh-new-grad-jobs-2027	no-target-role-match
Morgan Stanley	Tax Operations Associate	https://zapply.jobs/l/d/workday-ms-external-PT-JR043784?s=gh-new-grad-jobs-2027	no-target-role-match
Apple	Wireless Systems Engineer	https://zapply.jobs/l/d/apple-200682520?s=gh-new-grad-jobs-2027	no-target-role-match
Micron Technology	Intern - ASIC Digital Design	https://zapply.jobs/l/d/workday-micron-external-JR112163?s=gh-new-grad-jobs-2027	intern-coop-phd
Micron Technology	CMP Process Engineer	https://zapply.jobs/l/d/workday-micron-external-JR101724?s=gh-new-grad-jobs-2027	no-target-role-match
Micron Technology	Chem/Gas/TGM Systems Technician	https://zapply.jobs/l/d/workday-micron-external-JR106636?s=gh-new-grad-jobs-2027	no-target-role-match
Micron Technology	Fab Support Equipment Maintenance Technician	https://zapply.jobs/l/d/workday-micron-external-JR112286?s=gh-new-grad-jobs-2027	no-target-role-match
RTX	FPGA Engineer II	https://zapply.jobs/l/d/workday-globalhr-rec-rtx-ext-gateway-01866337?s=gh-new-grad-jobs-2027	no-target-role-match
Relativity Space	Valve Manufacturing Engineer, 2nd Shift	https://zapply.jobs/l/d/greenhouse-relativity-8812067002?s=gh-new-grad-jobs-2027	no-target-role-match
Amentum	RPA Mx Avionics Technician I/Battle Creek ANG	https://zapply.jobs/l/d/workday-pae-amentum-careers-R0170936?s=gh-new-grad-jobs-2027	no-target-role-match
RTX	F100 Hot Section Customer Support Engineer (Onsite)	https://zapply.jobs/l/d/workday-globalhr-rec-rtx-ext-gateway-01874161?s=gh-new-grad-jobs-2027	no-target-role-match
RTX	341 - Test Technician 2nd Shift (onsite)	https://zapply.jobs/l/d/workday-globalhr-rec-rtx-ext-gateway-01876383?s=gh-new-grad-jobs-2027	no-target-role-match
Muon Space	Facilities Engineer II	https://zapply.jobs/l/d/greenhouse-muonspace-5242931007?s=gh-new-grad-jobs-2027	no-target-role-match
Fireworks AI	Account Executive, AI Native Team	https://zapply.jobs/l/d/ashby-fireworks-fab3e536-5f1d-4ecc-8446-899e8c056672?s=gh-new-grad-jobs-2027	no-target-role-match
Solidigm	Associate Account Manager	https://zapply.jobs/l/d/sr-solidigm-744000150464799?s=gh-new-grad-jobs-2027	no-target-role-match
Astronomer	Sales Engineer	https://zapply.jobs/l/d/ashby-astronomer-3e3be48c-ccf0-4a39-9eb2-03a896787999?s=gh-new-grad-jobs-2027	no-target-role-match
LinkedIn	Software Engineer, Systems and Infrastructure	https://zapply.jobs/l/d/sr-LinkedIn3-744000150462539?s=gh-new-grad-jobs-2027	no-target-role-match
Microsoft	Software Engineer: AI Experiences Search	https://zapply.jobs/l/d/microsoft-200053347?s=gh-new-grad-jobs-2027	no-target-role-match
Block	Software Engineer	https://zapply.jobs/l/d/greenhouse-block-5426213008?s=gh-new-grad-jobs-2027	no-target-role-match
Leidos	Mechanical Engineering Supervisor	https://zapply.jobs/l/d/workday-leidos-external-R-00192637?s=gh-new-grad-jobs-2027	no-target-role-match
Leidos	Power Plant SME - Electrical Engineer	https://zapply.jobs/l/d/workday-leidos-external-R-00192622?s=gh-new-grad-jobs-2027	no-target-role-match
Leidos	Supplier Quality Engineer	https://zapply.jobs/l/d/workday-leidos-external-R-00192569?s=gh-new-grad-jobs-2027	no-target-role-match
Airbnb	Business Systems Engineer, Tech Foundations	https://zapply.jobs/l/d/greenhouse-airbnb-8214444?s=gh-new-grad-jobs-2027	no-target-role-match
Leidos	Mid-Level Control Account Manager	https://zapply.jobs/l/d/workday-leidos-external-R-00192627?s=gh-new-grad-jobs-2027	no-target-role-match
Leidos	Design Fabrication Technician	https://zapply.jobs/l/d/workday-leidos-external-R-00192565?s=gh-new-grad-jobs-2027	no-target-role-match
Home Depot	Engineering Technician	https://zapply.jobs/l/d/workday-homedepot-careerdepot-Req193798?s=gh-new-grad-jobs-2027	no-target-role-match
Stripe	Customer Success Manager, Enterprise	https://zapply.jobs/l/d/greenhouse-stripe-8208521?s=gh-new-grad-jobs-2027	no-target-role-match
Microsoft	Logistics Technician	https://zapply.jobs/l/d/microsoft-200056769?s=gh-new-grad-jobs-2027	no-target-role-match
