company	legal_name	industry	ats	board_url	api_url	h1b_known	notes
ZoomInfo	ZoomInfo Technologies Inc.	Revenue, GTM and Pricing Software	greenhouse	https://boards.greenhouse.io/zoominfo	https://boards-api.greenhouse.io/v1/boards/zoominfo/jobs	unchecked	
Zuora	Zuora, Inc.	Revenue, GTM and Pricing Software	greenhouse	https://boards.greenhouse.io/zuora	https://boards-api.greenhouse.io/v1/boards/zuora/jobs	unchecked	
Affirm	Affirm, Inc.	Fintech and Payments	greenhouse	https://boards.greenhouse.io/affirm	https://boards-api.greenhouse.io/v1/boards/affirm/jobs	unchecked	
Airwallex	?	Fintech and Payments	ashby	https://jobs.ashbyhq.com/airwallex	https://api.ashbyhq.com/posting-api/job-board/airwallex?includeCompensation=true	unchecked	
Alloy	?	Fintech and Payments	greenhouse	https://boards.greenhouse.io/alloy	https://boards-api.greenhouse.io/v1/boards/alloy/jobs	unchecked	
AnalogDevices	Analog Devices, Inc.	Semiconductors and Industrial Tech	ashby	https://jobs.ashbyhq.com/analog	https://api.ashbyhq.com/posting-api/job-board/analog?includeCompensation=true	unchecked	
BillCom	Bill.com Holdings, Inc.	Fintech and Payments	greenhouse	https://boards.greenhouse.io/billcom	https://boards-api.greenhouse.io/v1/boards/billcom/jobs	unchecked	
Bombas	?	Consumer Internet, Marketplaces and D2C	greenhouse	https://boards.greenhouse.io/bombas	https://boards-api.greenhouse.io/v1/boards/bombas/jobs	unchecked	
Brex	Brex Inc.	Fintech and Payments	greenhouse	https://boards.greenhouse.io/brex	https://boards-api.greenhouse.io/v1/boards/brex/jobs	unchecked	
Cameo	?	Consumer Internet, Marketplaces and D2C	greenhouse	https://boards.greenhouse.io/cameo	https://boards-api.greenhouse.io/v1/boards/cameo/jobs	unchecked	
Cars24	?	Consumer Internet, Marketplaces and D2C	smartrecruiters	https://jobs.smartrecruiters.com/cars24		n/a	
Circle	Circle Internet Financial, LLC	Fintech and Payments	ashby	https://jobs.ashbyhq.com/circle	https://api.ashbyhq.com/posting-api/job-board/circle?includeCompensation=true	unchecked	
Coinbase	Coinbase, Inc.	Fintech and Payments	greenhouse	https://boards.greenhouse.io/coinbase	https://boards-api.greenhouse.io/v1/boards/coinbase/jobs	unchecked	
Column	Column N.A.	Fintech and Payments	ashby	https://jobs.ashbyhq.com/column	https://api.ashbyhq.com/posting-api/job-board/column?includeCompensation=true	unchecked	
Cred	Dreamplug Technologies Private Limited	Fintech and Payments	lever	https://jobs.lever.co/cred	https://api.lever.co/v0/postings/cred?mode=json	n/a	
Current	?	Fintech and Payments	greenhouse	https://boards.greenhouse.io/current	https://boards-api.greenhouse.io/v1/boards/current/jobs	unchecked	
FiMoney	epiFi Technologies Private Limited	Fintech and Payments	lever	https://jobs.lever.co/fi	https://api.lever.co/v0/postings/fi?mode=json	n/a	
Gemini	Gemini Trust Company, LLC	Fintech and Payments	greenhouse	https://boards.greenhouse.io/gemini	https://boards-api.greenhouse.io/v1/boards/gemini/jobs	unchecked	
Glossier	Glossier, Inc.	Consumer Internet, Marketplaces and D2C	greenhouse	https://boards.greenhouse.io/glossier	https://boards-api.greenhouse.io/v1/boards/glossier/jobs	unchecked	
Gopuff	GoBrands, Inc. (dba Gopuff)	Consumer Internet, Marketplaces and D2C	lever	https://jobs.lever.co/gopuff	https://api.lever.co/v0/postings/gopuff?mode=json	unchecked	
Groww	Billionbrains Garage Ventures Private Limited	Fintech and Payments	greenhouse	https://boards.greenhouse.io/groww	https://boards-api.greenhouse.io/v1/boards/groww/jobs	n/a	
Highnote	?	Fintech and Payments	greenhouse	https://boards.greenhouse.io/highnote	https://boards-api.greenhouse.io/v1/boards/highnote/jobs	unchecked	
Instacart	Maplebear Inc. (dba Instacart)	Consumer Internet, Marketplaces and D2C	greenhouse	https://boards.greenhouse.io/instacart	https://boards-api.greenhouse.io/v1/boards/instacart/jobs	unchecked	
Lithic	?	Fintech and Payments	greenhouse	https://boards.greenhouse.io/lithic	https://boards-api.greenhouse.io/v1/boards/lithic/jobs	unchecked	
Meesho	Fashnear Technologies Private Limited	Consumer Internet, Marketplaces and D2C	lever	https://jobs.lever.co/meesho	https://api.lever.co/v0/postings/meesho?mode=json	n/a	
Melio	?	Fintech and Payments	greenhouse	https://boards.greenhouse.io/melio	https://boards-api.greenhouse.io/v1/boards/melio/jobs	unchecked	
Mercury	Mercury Technologies, Inc.	Fintech and Payments	greenhouse	https://boards.greenhouse.io/mercury	https://boards-api.greenhouse.io/v1/boards/mercury/jobs	unchecked	
ModernTreasury	?	Fintech and Payments	ashby	https://jobs.ashbyhq.com/moderntreasury	https://api.ashbyhq.com/posting-api/job-board/moderntreasury?includeCompensation=true	unchecked	
Navi	Navi Technologies Limited	Fintech and Payments	ashby	https://jobs.ashbyhq.com/navi	https://api.ashbyhq.com/posting-api/job-board/navi?includeCompensation=true	n/a	
