source	sources	company	title	location	url	posted_ts	age_days	sponsorship_hint	salary	category
linkedin	linkedin	Teradyne	Memory Test Product Management Manager (Memory Test, San Jose, CA)	San Jose, CA	https://www.linkedin.com/jobs/view/4382509959	2026-09-20	1.47			
linkedin	linkedin	Qcells North America	BESS Product Strategy Manager	Santa Clara, CA	https://www.linkedin.com/jobs/view/4468498535	2026-09-21	0.47			
linkedin	linkedin	Tipalti	Director, Revenue	Foster City, CA	https://www.linkedin.com/jobs/view/4441262812	2026-09-20	1.47			
linkedin	linkedin	Roku	Senior Device Sales Marketing Manager	San Jose, CA	https://www.linkedin.com/jobs/view/4442150569	2026-09-21	0.47			
linkedin	linkedin	Ladders	Head of Revenue Strategy & Execution - CX	San Francisco, CA	https://www.linkedin.com/jobs/view/4467371929	2026-09-21	0.47			
linkedin	linkedin	Onto Innovation	Senior Manager, Finance	Milpitas, CA	https://www.linkedin.com/jobs/view/4424105145	2026-09-20	1.47			
linkedin	linkedin	Rivian	Senior Global Supply Manager, IT	Palo Alto, CA	https://www.linkedin.com/jobs/view/4433292700	2026-09-21	0.47			
linkedin	linkedin	Pinterest	Staff Product Manager, Billing	San Francisco, CA	https://www.linkedin.com/jobs/view/4423591790	2026-09-20	1.47			
linkedin	linkedin	Supermicro	Sr. Product Manager	San Jose, CA	https://www.linkedin.com/jobs/view/4406823562	2026-09-21	0.47			
linkedin	linkedin	Parker Hannifin	Division Strategic Pricing Manager	Minneapolis, MN	https://www.linkedin.com/jobs/view/4414917300	2026-09-20	1.47			
linkedin	linkedin	Holland America Line	Manager, Pricing & Demand	Seattle, WA	https://www.linkedin.com/jobs/view/4451082581	2026-09-20	1.47			
linkedin	linkedin	Simpson Thacher & Bartlett LLP	Manager, Pricing	New York City Metropolitan Area	https://www.linkedin.com/jobs/view/4414655571	2026-09-20	1.47			
linkedin	linkedin	Ladders	Pricing Advisory Manager	United States	https://www.linkedin.com/jobs/view/4467368948	2026-09-21	0.47			
linkedin	linkedin	Brenntag	Pricing Manager Specialties	Wayne, PA	https://www.linkedin.com/jobs/view/4441480896	2026-09-20	1.47			
linkedin	linkedin	Coda Search│Staffing	Snr Pricing Manager (Law Firm)	New York City Metropolitan Area	https://www.linkedin.com/jobs/view/4469598855	2026-09-20	1.47			
linkedin	linkedin	Xometry	Manager, Data Analytics, Pricing & Yield Management	Denver, CO	https://www.linkedin.com/jobs/view/4467594240	2026-09-20	1.47			
linkedin	linkedin	PwC	Pricing Analytics Manager	Montpelier, VT	https://www.linkedin.com/jobs/view/4469815350	2026-09-20	1.47			
linkedin	linkedin	PwC	Pricing Analytics Manager	Greensboro, NC	https://www.linkedin.com/jobs/view/4469805823	2026-09-20	1.47			
linkedin	linkedin	Ladders	Senior Manager, Pricing - REMOTE	United States	https://www.linkedin.com/jobs/view/4467373873	2026-09-21	0.47			
linkedin	linkedin	TeleTracking	Revenue Operations (Rev/Ops) Manager	United States	https://www.linkedin.com/jobs/view/4433249319	2026-09-20	1.47			
linkedin	linkedin	The Hain Celestial Group	Senior Manager, Consumer Insights and Category Manager (Walmart)	United States	https://www.linkedin.com/jobs/view/4440799848	2026-09-20	1.47			
linkedin	linkedin	Abbott	Associate Bidding Manager	Shanghai, VA	https://www.linkedin.com/jobs/view/4469868385	2026-09-21	0.47			
linkedin	linkedin	Wesco	Manager - Online Merchandising	Glenview, IL	https://www.linkedin.com/jobs/view/4450395224	2026-09-20	1.47			
linkedin	linkedin	Simon-Kucher	Manager, Tech Strategy Advice – Healthcare & Life Sciences - Elevate	Chicago, IL	https://www.linkedin.com/jobs/view/4437293223	2026-09-21	0.47			
linkedin	linkedin	Interstate Earthworks LLC	Lead Estimator	Dallas-Fort Worth Metroplex	https://www.linkedin.com/jobs/view/4414905935	2026-09-21	0.47			
linkedin	linkedin	Simon-Kucher	Manager, Tech Strategy Advice – Healthcare & Life Sciences - Elevate	Boston, MA	https://www.linkedin.com/jobs/view/4437286471	2026-09-21	0.47			
linkedin	linkedin	Sazerac Company	Category Manager - Liquor Channel	Dallas, TX	https://www.linkedin.com/jobs/view/4405006712	2026-09-20	1.47			
linkedin	linkedin	PwC	Pricing and Revenue Consulting Senior Associate - Consumer Markets Sector	San Francisco, CA	https://www.linkedin.com/jobs/view/4469816259	2026-09-20	1.47			
linkedin	linkedin	TikTok	Monetization Business Analytics Lead	San Jose, CA	https://www.linkedin.com/jobs/view/4444870011	2026-09-21	0.47			
linkedin	linkedin	Happen Bank	Sr Financial Product Strategy Manager – HELOC & Mortgage	San Francisco, CA	https://www.linkedin.com/jobs/view/4414708773	2026-09-20	1.47			
linkedin	linkedin	Saama	Solution Architect – Commercial Product Launch	South San Francisco, CA	https://www.linkedin.com/jobs/view/4469168925	2026-09-21	0.47			
linkedin	linkedin	Simon-Kucher	Summer 2027 Intern - Healthcare & Life Sciences Division [UG/Masters]	San Francisco, CA	https://www.linkedin.com/jobs/view/4437282549	2026-09-21	0.47			
linkedin	linkedin	Palo Alto Networks	Senior Manager, Revenue and QTC Transformation	Santa Clara, CA	https://www.linkedin.com/jobs/view/4356033776	2026-09-20	1.47			
linkedin	linkedin	Williams-Sonoma, Inc.	Assistant Buyer, WS AUS & CO	San Francisco, CA	https://www.linkedin.com/jobs/view/4424118728	2026-09-20	1.47			
linkedin	linkedin	RSM US LLP	Deals Services - Supervisor, Strategic Finance and FP&A, Advanced Decision Modeling	San Francisco, CA	https://www.linkedin.com/jobs/view/4413840902	2026-09-20	1.47			
linkedin	linkedin	Atlassian	Principal Strategist, Sales & Success Strategy - Public Sector	San Francisco, CA	https://www.linkedin.com/jobs/view/4415809614	2026-09-21	0.47			
linkedin	linkedin	The Trade Desk	Associate General Counsel, Data Licensing	San Francisco, CA	https://www.linkedin.com/jobs/view/4382219860	2026-09-20	1.47			
linkedin	linkedin	Williams-Sonoma, Inc.	Assistant Buyer, Franchise - Global	San Francisco, CA	https://www.linkedin.com/jobs/view/4397193813	2026-09-20	1.47			
linkedin	linkedin	Ladders	Director, Product Marketing - Pricing	United States	https://www.linkedin.com/jobs/view/4467369930	2026-09-21	0.47			
linkedin	linkedin	CRG Search	Director of Pricing Strategy | Grocery Retail	Honolulu, HI	https://www.linkedin.com/jobs/view/4366508761	2026-09-21	0.47			
linkedin	linkedin	PwC	Pricing and Revenue Consulting Senior Associate - Consumer Markets Sector	New York, NY	https://www.linkedin.com/jobs/view/4469824084	2026-09-20	1.47			
linkedin	linkedin	PwC	Pricing and Revenue Consulting Senior Associate - Consumer Markets Sector	Florham Park, NJ	https://www.linkedin.com/jobs/view/4469825062	2026-09-20	1.47			
linkedin	linkedin	MongoDB	Product Pricing & Monetization Strategy - Associate	New York, NY	https://www.linkedin.com/jobs/view/4394953019	2026-09-20	1.47			
linkedin	linkedin	Wise	Senior Commercial Pricing Manager (NA)	Austin, Texas Metropolitan Area	https://www.linkedin.com/jobs/view/4450374722	2026-09-20	1.47			
linkedin	linkedin	Crowe	Head of Pricing	Charlotte, NC	https://www.linkedin.com/jobs/view/4461014812	2026-09-21	0.47			
linkedin	linkedin	PwC	Pricing and Revenue Consulting Senior Associate - Consumer Markets Sector	Dallas, TX	https://www.linkedin.com/jobs/view/4469805821	2026-09-20	1.47			
linkedin	linkedin	PwC	Pricing and Revenue Consulting Senior Associate - Consumer Markets Sector	Stamford, CT	https://www.linkedin.com/jobs/view/4469814424	2026-09-20	1.47			
linkedin	linkedin	PwC	Pricing and Revenue Consulting Senior Associate - Consumer Markets Sector	Greensboro, NC	https://www.linkedin.com/jobs/view/4469816262	2026-09-20	1.47			
linkedin	linkedin	PwC	Pricing and Revenue Consulting Senior Associate - Consumer Markets Sector	Charlotte, NC	https://www.linkedin.com/jobs/view/4469818197	2026-09-20	1.47			
linkedin	linkedin	PwC	Pricing and Revenue Consulting Senior Associate - Consumer Markets Sector	Silicon Valley, CA	https://www.linkedin.com/jobs/view/4469820187	2026-09-20	1.47			
