source	sources	company	title	location	url	posted_ts	age_days	sponsorship_hint	salary	category
board:greenhouse	board:greenhouse	Instacart	Senior Product Manager, Retailer Platform	United States - Remote	https://instacart.careers/job/?gh_jid=8014060	2026-08-24	27.5			
board:greenhouse	board:greenhouse	Instacart	Senior Product Manager, Retailer Platform	Canada - Remote (ON, AB, BC, or NS Only)	https://instacart.careers/job/?gh_jid=8014062	2026-08-24	27.5			
board:greenhouse	board:greenhouse	Instacart	Senior Product Marketing Manager, Instacart+	United States - Remote	https://instacart.careers/job/?gh_jid=8214827	2026-09-18	2.5			
board:greenhouse	board:greenhouse	Instacart	Senior Product Marketing Manager, Instacart+	Canada - Remote (ON, AB, BC, or NS Only)	https://instacart.careers/job/?gh_jid=8214859	2026-09-18	2.5			
board:greenhouse	board:greenhouse	Nextdoor	Staff Product Manager, Search	US Remote	https://about.nextdoor.com/careers-list/?gh_jid=8142001	2026-08-20	31.5			
board:lever	board:lever	Rover	Senior Marketing Manager	Remote	https://jobs.lever.co/rover/f05fbca8-fea6-45d4-948d-4e16b14eac9e	2026-08-12	39.5			
board:greenhouse	board:greenhouse	SeatGeek	Senior Product Manager, Catalog	Remote - United States	https://seatgeek.com/jobs/8039783?gh_jid=8039783	2026-08-29	22.5			
board:greenhouse	board:greenhouse	ThriveMarket	Senior Growth Marketing Manager, Search, Shopping & GEO	Remote	https://thrivemarketjobs.com/job_posting.html?id=4369950009&gh_jid=4369950009	2026-08-17	34.5			
board:greenhouse	board:greenhouse	ThriveMarket	Sr. Growth Marketing Manager - Paid Social	Remote	https://thrivemarketjobs.com/job_posting.html?id=4411451009&gh_jid=4411451009	2026-09-18	2.5			
board:lever	board:lever	Ro	Packaging Program Manager	New York, NY or Remote	https://jobs.lever.co/ro/1f481677-dda0-43b5-9245-a513ab90cfeb	2026-08-25	26.5			
board:ashby	board:ashby	Navi	Founding Go-to-Market Lead	San Francisco	https://jobs.ashbyhq.com/navi/8a66fff6-5ca4-4c58-951e-9555534f66eb	2026-06-23	89.5			
board:greenhouse	board:greenhouse	Turing	Senior Product Marketing Manager	Palo Alto, California, United States; San Francisco, California, United States; United States	https://job-boards.greenhouse.io/turing/jobs/6162081004	2026-09-10	10.5			
board:greenhouse	board:greenhouse	ObserveAI	Product Marketing Manager	Redwood City, CA (Hybrid)	https://www.observe.ai/position?gh_jid=5423306008	2026-09-16	4.5			
board:greenhouse	board:greenhouse	Druva	Deal Desk Analyst	Santa Clara, CA	https://www.druva.com/why-druva/explore/careers/jobs/8742718002/?gh_jid=8742718002	2026-09-01	19.5			
board:greenhouse	board:greenhouse	Druva	Lead, Global Deal Desk Strategy	Santa Clara, CA	https://www.druva.com/why-druva/explore/careers/jobs/8617120002/?gh_jid=8617120002	2026-09-01	19.5			
board:lever	board:lever	HevoData	Strategy & Ops (Founder's Office)	Bangalore, India	https://jobs.lever.co/hevodata/8d0ee4a7-1ecb-4129-af6b-14abc69b84e5	2026-04-21	152.5			
linkedin	linkedin	WarpBuild	Chief of Staff to the CEO	India	https://www.linkedin.com/jobs/view/4468402014	2026-09-19	1.46			
linkedin	linkedin	Simit Bhagat Studios	Founders Office in Mumbai	Mumbai Metropolitan Region	https://www.linkedin.com/jobs/view/4469575163	2026-09-20	0.46			
linkedin	linkedin	Stripe	Product Marketing Manager, Payments	San Francisco, CA	https://www.linkedin.com/jobs/view/4456449463	2026-09-20	0.46			
linkedin	linkedin	Cadence	DSP Product Marketing Manager	San Jose, CA	https://www.linkedin.com/jobs/view/4423994335	2026-09-19	1.46			
linkedin	linkedin	NVIDIA	Product Marketing Manager - Enterprise AI	Santa Clara, CA	https://www.linkedin.com/jobs/view/4450398520	2026-09-19	1.46			
linkedin	linkedin	DoorDash	Manager, Product Marketing, Ads & Promotions	San Francisco, CA	https://www.linkedin.com/jobs/view/4420765651	2026-09-20	0.46			
linkedin	linkedin	Micron Technology	Product Marketing Manager, Data Center	San Jose, CA	https://www.linkedin.com/jobs/view/4441184639	2026-09-20	0.46			
linkedin	linkedin	Monolithic Power Systems, Inc.	Technical Product Marketing Manager - Semiconductor Telecom	San Jose, CA	https://www.linkedin.com/jobs/view/4312508789	2026-09-20	0.46			
linkedin	linkedin	Mizuho OSI	Downstream Product Marketing Manager	Union City, CA	https://www.linkedin.com/jobs/view/4414407212	2026-09-20	0.46			
linkedin	linkedin	Supermicro	Sr. Product Manager	San Jose, CA	https://www.linkedin.com/jobs/view/4331779277	2026-09-20	0.46			
linkedin	linkedin	NVIDIA	Senior Product Marketing Manager - Financial Services	Santa Clara, CA	https://www.linkedin.com/jobs/view/4404230543	2026-09-19	1.46			
linkedin	linkedin	Deepgram	Senior Product Marketing Manager, Voice Agent	United States	https://www.linkedin.com/jobs/view/4450656459	2026-09-19	1.46			
